"brand";"model_year";"milage";"fuel_type";"engine";"transmission";"ext_col";"int_col";"accident";"clean_title";"price_dollar";"horsepower";"cylinders"
"Mercedes-Benz";2020;1750;"Gasoline";"577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";199995;577;8
"Dodge";2020;2750;"Gasoline";"797.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Orange";"Black";"None reported";"Yes";104500;797;8
"Porsche";2013;40800;"Gasoline";"265.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel";"Automatic";"Brown";"Beige";"None reported";"Yes";35500;265;6
"Ford";2010;87500;"Gasoline";"315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Black";"At least 1 accident or damage reported";"Yes";14900;315;8
"Chevrolet";2020;93000;"Gasoline";"355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";38500;355;8
"BMW";2018;31090;"Gasoline";"600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Green";"Black";"At least 1 accident or damage reported";"Yes";68000;600;8
"Audi";2015;73000;"Diesel";"240.0HP 3.0L V6 Cylinder Engine Diesel Fuel";"Automatic";"White";"Gray";"None reported";"Yes";34000;240;6
"Genesis";2020;23600;"Gasoline";"311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Gray";"None reported";"Yes";31900;311;6
"BMW";2019;20500;"Gasoline";"560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";67900;560;8
"Ford";2013;57912;"Gasoline";"305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel";"Manual";"Black";"Black";"At least 1 accident or damage reported";"Yes";18750;305;6
"BMW";2009;35000;"Gasoline";"360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";18500;360;8
"Nissan";2023;7089;"Electric";"214.0HP Electric Motor Electric Fuel System";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";29895;214;0
"Lincoln";2022;13750;"Gasoline";"440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";79999;440;6
"Mercedes-Benz";2015;13300;"Gasoline";"449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";62500;449;8
"Audi";2020;27100;"Hybrid";"335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid";"Automatic";"White";"Black";"None reported";"Yes";50000;335;6
"Ford";2017;89352;"Gasoline";"310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"At least 1 accident or damage reported";"Yes";20989;310;4
"Chevrolet";2018;1e+05;"Gasoline";"153.0HP 1.4L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"At least 1 accident or damage reported";"Yes";8500;153;4
"Land";2020;16000;"Hybrid";"395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid";"Automatic";"Silver";"Black";"None reported";"Yes";75500;395;6
"Land";2023;15200;"Gasoline";"296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";62999;296;4
"BMW";2012;39960;"Gasoline";"400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Manual";"White";"Brown";"None reported";"Yes";38995;400;8
"Ford";2008;119000;"Gasoline";"210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"At least 1 accident or damage reported";"Yes";13500;210;6
"Mazda";2014;118500;"Gasoline";"155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Manual";"Silver";"Black";"At least 1 accident or damage reported";"Yes";11500;155;4
"Kia";2021;8288;"Gasoline";"365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";45899;365;6
"Chevrolet";2023;2950;"Gasoline";"650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Gray";"None reported";"Yes";74500;650;8
"Mercedes-Benz";2017;73000;"Gasoline";"563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"At least 1 accident or damage reported";"Yes";78000;563;8
"Ford";2005;82000;"Gasoline";"280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gold";"White";"None reported";"Yes";14900;280;8
"GMC";2017;49105;"Gasoline";"420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";39750;420;8
"Kia";2023;5500;"Gasoline";"291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"None reported";"Yes";40000;291;6
"Chevrolet";2005;36700;"Gasoline";"400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel";"Manual";"Blue";"Black";"None reported";"Yes";26000;400;8
"BMW";2014;40000;"Gasoline";"445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";34000;445;8
"GMC";2015;74864;"Gasoline";"288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Beige";"None reported";"Yes";19780;288;6
"Cadillac";2021;15350;"Gasoline";"420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";93500;420;8
"Nissan";2010;46100;"Gasoline";"485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";72999;485;6
"Toyota";2018;61454;"Gasoline";"295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Gray";"None reported";"Yes";31000;295;6
"BMW";2020;45241;"Gasoline";"335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Brown";"None reported";"Yes";54500;335;6
"INFINITI";2018;48000;"Gasoline";"295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";27000;295;6
"Lexus";2010;68500;"Gasoline";"204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel";"Manual";"Black";"Beige";"None reported";"Yes";18500;204;6
"Dodge";2014;92861;"Gasoline";"375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Red";"None reported";"Yes";19750;375;8
"Hyundai";2016;72000;"Gasoline";"429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";21400;429;8
"Lamborghini";2019;6929;"Gasoline";"759.0HP 6.5L 12 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";649999;759;12
"Ford";2003;83000;"Gasoline";"260.0HP 4.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";10500;260;8
"Toyota";2023;8200;"Hybrid";"437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid";"Automatic";"Brown";"Black";"None reported";"Yes";78900;437;6
"Maserati";2015;32000;"Gasoline";"454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Beige";"Brown";"None reported";"Yes";36000;454;8
"BMW";2013;61145;"Gasoline";"560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"At least 1 accident or damage reported";"Yes";37500;560;8
"Ford";2011;152000;"Gasoline";"365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Brown";"Beige";"None reported";"Yes";14000;365;6
"Audi";2012;129567;"Gasoline";"211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";7000;211;4
"BMW";2019;36000;"Gasoline";"335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"At least 1 accident or damage reported";"Yes";41995;335;6
"BMW";2009;92008;"Gasoline";"300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";12500;300;6
"Ford";1998;63900;"Gasoline";"150.0HP 3.8L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"None reported";"Yes";10300;150;6
"Toyota";2012;150900;"Gasoline";"381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Gray";"None reported";"Yes";17500;381;8
"Audi";2021;14750;"Hybrid";"335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid";"Automatic";"Silver";"Black";"None reported";"Yes";61059;335;6
"Subaru";2015;52500;"Gasoline";"268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Manual";"Gray";"Black";"None reported";"Yes";23000;268;4
"Chevrolet";2017;207571;"Gasoline";"355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";21000;355;8
"INFINITI";2020;39000;"Gasoline";"295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Gray";"None reported";"Yes";29900;295;6
"INFINITI";2017;93500;"Gasoline";"295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";16000;295;6
"BMW";2018;7200;"Gasoline";"425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";64000;425;6
"Land";2023;8421;"Hybrid";"395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid";"Automatic";"Black";"White";"None reported";"Yes";90000;395;6
"Volvo";2023;17000;"Electric";"402.0HP Electric Motor Electric Fuel System";"Automatic";"Gray";"Blue";"None reported";"Yes";54900;402;0
"Mercedes-Benz";2011;41314;"Gasoline";"382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"White";"At least 1 accident or damage reported";"Yes";30999;382;8
"Land";2020;49899;"Gasoline";"518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"At least 1 accident or damage reported";"Yes";64500;518;8
"Ford";2012;186268;"E85 Flex Fuel";"240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability";"Automatic";"Blue";"Black";"None reported";"Yes";4500;240;6
"Lexus";2016;51335;"Gasoline";"268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"At least 1 accident or damage reported";"Yes";25995;268;6
"Porsche";2019;10400;"Gasoline";"365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";99750;365;4
"Mitsubishi";2006;77000;"Gasoline";"286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Manual";"Silver";"Black";"None reported";"Yes";57000;286;4
"Acura";2013;40000;"Gasoline";"280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Gray";"None reported";"Yes";24000;280;6
"Cadillac";2012;113000;"Gasoline";"270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";10000;270;6
"Chevrolet";2022;7600;"Gasoline";"455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Manual";"Gray";"Black";"At least 1 accident or damage reported";"Yes";46000;455;8
"Toyota";2022;20400;"Hybrid";"208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid";"Automatic";"White";"Gray";"None reported";"Yes";29900;208;4
"Ford";2019;115000;"Gasoline";"310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"None reported";"Yes";39000;310;6
"Lexus";2012;239000;"Hybrid";"295.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid";"Automatic";"Black";"Black";"None reported";"Yes";7000;295;6
"Porsche";2017;48900;"Gasoline";"350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";62500;350;4
"Audi";2014;21800;"Gasoline";"525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";117000;525;10
"Lincoln";2016;68200;"Gasoline";"300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"At least 1 accident or damage reported";"Yes";16750;300;6
"Chevrolet";2001;139000;"Gasoline";"190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Gray";"None reported";"Yes";7000;190;6
"Mercedes-Benz";2021;76100;"Gasoline";"416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";130000;416;8
"BMW";2019;41906;"Gasoline";"445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"White";"At least 1 accident or damage reported";"Yes";45999;445;8
"Chevrolet";2016;164000;"Gasoline";"455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Red";"None reported";"Yes";21500;455;8
"Land";2020;46891;"Gasoline";"246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"At least 1 accident or damage reported";"Yes";31000;246;4
"Chevrolet";2019;72000;"Gasoline";"355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Beige";"At least 1 accident or damage reported";"Yes";39000;355;8
"Porsche";2020;3400;"Gasoline";"414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel";"Manual";"White";"Black";"None reported";"Yes";129900;414;6
"Chevrolet";2021;18000;"Gasoline";"335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"At least 1 accident or damage reported";"Yes";30000;335;6
"GMC";2023;9978;"Gasoline";"420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gold";"None reported";"Yes";93999;420;8
"Ford";2018;18500;"Gasoline";"526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel";"Manual";"Blue";"Black";"At least 1 accident or damage reported";"Yes";77999;526;8
"Buick";2017;67500;"Gasoline";"310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Beige";"None reported";"Yes";20000;310;6
"Tesla";2020;43534;"Electric";"534.0HP Electric Motor Electric Fuel System";"Automatic";"Black";"Black";"None reported";"Yes";65990;534;0
"Mercedes-Benz";2017;36900;"Gasoline";"241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Beige";"None reported";"Yes";28500;241;4
"BMW";2022;13000;"Hybrid";"335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid";"Automatic";"Gray";"Orange";"None reported";"Yes";69000;335;6
"Land";2023;11700;"Hybrid";"395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid";"Automatic";"Gray";"White";"None reported";"Yes";133500;395;6
"Chevrolet";2015;77500;"Diesel";"397.0HP 6.6L 8 Cylinder Engine Diesel Fuel";"Automatic";"Black";"Brown";"None reported";"Yes";54000;397;8
"Maserati";2007;82000;"Gasoline";"394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";7999;394;8
"Dodge";2017;1389;"Gasoline";"645.0HP 8.4L 10 Cylinder Engine Gasoline Fuel";"Manual";"Black";"Black";"None reported";"Yes";489995;645;10
"Kia";2019;62660;"Gasoline";"185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";16500;185;4
"Land";2018;56006;"Gasoline";"575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"White";"None reported";"Yes";59000;575;8
"Lincoln";2004;27600;"Gasoline";"239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"White";"None reported";"Yes";14900;239;8
"Honda";2012;47245;"Gasoline";"201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel";"Manual";"White";"Black";"None reported";"Yes";19600;201;4
"Lexus";2017;73948;"Hybrid";"308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid";"Automatic";"White";"Beige";"None reported";"Yes";31990;308;6
"Tesla";2023;4786;"Electric";"425.0HP Electric Motor Electric Fuel System";"Automatic";"White";"White";"None reported";"Yes";48000;425;0
"Audi";2023;1900;"Gasoline";"401.0HP 2.5L 5 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";78900;401;5
"Hyundai";2014;52060;"Gasoline";"348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel";"Manual";"Black";"Black";"At least 1 accident or damage reported";"Yes";15000;348;6
"Porsche";2008;58000;"Gasoline";"303.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel";"Manual";"Silver";"Black";"None reported";"Yes";41500;303;6
"Nissan";2009;37500;"Gasoline";"332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel";"Manual";"Silver";"Orange";"None reported";"Yes";21500;332;6
"Genesis";2023;2121;"Gasoline";"252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Red";"None reported";"Yes";40750;252;4
"Land";2013;57000;"Gasoline";"510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";26000;510;8
"Mercedes-Benz";2020;22000;"Gasoline";"463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";69500;463;8
"Ford";2023;2000;"Gasoline";"315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";66500;315;6
"RAM";2018;61802;"E85 Flex Fuel";"305.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability";"Automatic";"Black";"Gray";"None reported";"Yes";32000;305;6
"Jeep";2013;106700;"E85 Flex Fuel";"290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability";"Automatic";"Black";"Black";"None reported";"Yes";13500;290;6
"Audi";2013;75965;"Gasoline";"450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"At least 1 accident or damage reported";"Yes";35999;450;8
"Chrysler";2005;116320;"Gasoline";"215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Red";"At least 1 accident or damage reported";"Yes";6000;215;6
"Audi";2011;156875;"Gasoline";"354.0HP 4.2L 8 Cylinder Engine Gasoline Fuel";"Manual";"Black";"Red";"At least 1 accident or damage reported";"Yes";9900;354;8
"Tesla";2023;197;"Electric";"670.0HP Electric Motor Electric Fuel System";"Automatic";"Blue";"Black";"None reported";"Yes";85000;670;0
"Cadillac";2020;35200;"Gasoline";"237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";28500;237;4
"Maserati";2014;76000;"Gasoline";"404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";19000;404;6
"Jaguar";2019;29000;"Gasoline";"247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";34500;247;4
"BMW";2019;33499;"Gasoline";"445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"At least 1 accident or damage reported";"Yes";44495;445;8
"GMC";2015;76296;"Gasoline";"182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"At least 1 accident or damage reported";"Yes";9500;182;4
"BMW";2014;29553;"Electric";"170.0HP 0.65L Electric Motor Electric Fuel System";"Automatic";"Black";"Gray";"None reported";"Yes";12800;170;0
"Nissan";2011;109902;"Gasoline";"122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Gray";"None reported";"Yes";4500;122;4
"Mercedes-Benz";2019;23083;"Gasoline";"255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";33500;255;4
"Toyota";2003;143600;"Gasoline";"180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel";"Manual";"Black";"Black";"None reported";"Yes";4199;180;4
"RAM";2021;22000;"Gasoline";"395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";54800;395;8
"Mercedes-Benz";2022;13000;"Hybrid";"429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid";"Automatic";"Silver";"Black";"None reported";"Yes";81500;429;6
"Audi";2018;53000;"Gasoline";"252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Brown";"At least 1 accident or damage reported";"Yes";28000;252;4
"Lincoln";2019;44741;"Gasoline";"450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Beige";"Beige";"None reported";"Yes";52999;450;6
"Audi";2008;202000;"Gasoline";"255.0HP 3.2L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Gray";"At least 1 accident or damage reported";"Yes";5700;255;6
"Chevrolet";2006;215000;"Gasoline";"345.0HP 6.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";6995;345;8
"Toyota";2011;177702;"Gasoline";"179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Gray";"At least 1 accident or damage reported";"Yes";7700;179;4
"Mercedes-Benz";2018;58350;"Gasoline";"208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";29497;208;4
"Chevrolet";2010;86170;"Gasoline";"304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";17000;304;6
"Mazda";2012;36568;"Gasoline";"167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Manual";"Blue";"Beige";"At least 1 accident or damage reported";"Yes";20199;167;4
"Ford";2015;54357;"Gasoline";"173.0HP 1.6L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"None reported";"Yes";16250;173;4
"Porsche";2010;64800;"Gasoline";"255.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel";"Manual";"Gray";"Gray";"At least 1 accident or damage reported";"Yes";20900;255;6
"Toyota";2016;117780;"Gasoline";"270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";27750;270;6
"Hyundai";2019;33100;"Electric";"201.0HP Electric Motor Electric Fuel System";"Automatic";"Black";"Black";"None reported";"Yes";18200;201;0
"Land";2016;86202;"Gasoline";"240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";18750;240;4
"Ford";2012;163000;"E85 Flex Fuel";"255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability";"Automatic";"White";"Gray";"None reported";"Yes";19550;255;8
"Mercedes-Benz";2004;35400;"Gasoline";"302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Gray";"None reported";"Yes";24900;302;8
"Jeep";2018;31000;"Gasoline";"180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";22000;180;4
"Mercedes-Benz";2021;22480;"Gasoline";"416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Brown";"None reported";"Yes";135800;416;8
"Tesla";2016;91000;"Electric";"691.0HP Electric Motor Electric Fuel System";"Automatic";"Silver";"White";"None reported";"Yes";39500;691;0
"Lexus";2010;41500;"Gasoline";"416.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"At least 1 accident or damage reported";"Yes";44800;416;8
"BMW";2010;91545;"Gasoline";"300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";13000;300;6
"Audi";2022;4100;"Hybrid";"591.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid";"Automatic";"Blue";"Black";"None reported";"Yes";162500;591;8
"Buick";2006;110000;"Gasoline";"275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gold";"Beige";"None reported";"Yes";5000;275;8
"Lincoln";2016;88000;"Gasoline";"335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";18500;335;6
"Nissan";2018;42833;"Gasoline";"390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Gray";"None reported";"Yes";37000;390;8
"BMW";2015;60100;"Gasoline";"300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Beige";"None reported";"Yes";24995;300;6
"Cadillac";2013;63172;"Gasoline";"202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";12995;202;4
"Ford";2010;72000;"Gasoline";"136.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"At least 1 accident or damage reported";"Yes";10900;136;4
"Kia";2022;4820;"Electric";"320.0HP Electric Motor Electric Fuel System";"Automatic";"Red";"Black";"None reported";"Yes";47500;320;0
"Toyota";2018;51000;"Gasoline";"381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Gray";"None reported";"Yes";38000;381;8
"Jeep";2013;54500;"Gasoline";"285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Green";"Black";"None reported";"Yes";35000;285;6
"Maserati";2006;61840;"Gasoline";"394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Beige";"None reported";"Yes";16500;394;8
"GMC";2002;3e+05;"Diesel";"300.0HP 6.6L 8 Cylinder Engine Diesel Fuel";"Automatic";"Black";"Gray";"At least 1 accident or damage reported";"Yes";5000;300;8
"Nissan";2011;103400;"Gasoline";"261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Gray";"At least 1 accident or damage reported";"Yes";17000;261;6
"Ford";2016;107000;"E85 Flex Fuel";"385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability";"Automatic";"White";"Gray";"At least 1 accident or damage reported";"Yes";22000;385;8
"Porsche";2010;13850;"Gasoline";"385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel";"Manual";"Black";"Black";"None reported";"Yes";71400;385;6
"Honda";2020;64200;"Hybrid";"151.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid";"Automatic";"White";"Black";"At least 1 accident or damage reported";"Yes";20499;151;4
"Tesla";2022;25250;"Electric";"455.0HP Electric Motor Electric Fuel System";"Automatic";"White";"White";"None reported";"Yes";47800;455;0
"BMW";2020;35400;"Gasoline";"617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Orange";"Black";"None reported";"Yes";71950;617;8
"Audi";2004;74030;"Gasoline";"340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel";"Manual";"Silver";"Gray";"None reported";"Yes";16000;340;8
"Kia";2023;5182;"Gasoline";"146.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";32500;146;4
"RAM";2019;31681;"Gasoline";"280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"At least 1 accident or damage reported";"Yes";33500;280;6
